experiment,score,max_score,pass_rate,status,description
0,14,15,93.3%,baseline,autopilot baseline
1,15,15,100.0%,keep,autopilot keep exp=1 score=15
2,14,15,93.3%,discard,autopilot discard exp=2 score=14
3,11,15,73.3%,discard,autopilot discard exp=3 score=11
4,14,15,93.3%,discard,autopilot discard exp=4 score=14
5,13,15,86.7%,discard,autopilot discard exp=5 score=13
6,9,15,60.0%,discard,autopilot discard exp=6 score=9
7,14,15,93.3%,discard,autopilot discard exp=7 score=14
8,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=8 score=15/15
9,14,15,93.3%,discard,autopilot discard exp=9 score=14
10,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=10 score=15/15
11,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=11 score=15/15
12,13,15,86.7%,discard,autopilot discard exp=12 score=13
13,13,15,86.7%,discard,autopilot discard exp=13 score=13
14,14,15,93.3%,discard,autopilot discard exp=14 score=14
15,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=15 score=15/15
16,13,15,86.7%,discard,autopilot discard exp=16 score=13
17,14,15,93.3%,discard,autopilot discard exp=17 score=14
18,14,15,93.3%,discard,autopilot discard exp=18 score=14
19,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=19 score=15/15
20,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=20 score=15/15
21,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=21 score=15/15
22,10,15,66.7%,discard,autopilot discard exp=22 score=10
23,10,15,66.7%,discard,autopilot discard exp=23 score=10
24,14,15,93.3%,discard,autopilot discard exp=24 score=14
25,14,15,93.3%,discard,autopilot discard exp=25 score=14
26,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=26 score=15/15
27,14,15,93.3%,discard,autopilot discard exp=27 score=14
28,10,15,66.7%,discard,autopilot discard exp=28 score=10
29,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=29 score=15/15
30,13,15,86.7%,discard,autopilot discard exp=30 score=13
31,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=31 score=15/15
32,14,15,93.3%,discard,autopilot discard exp=32 score=14
33,14,15,93.3%,discard,autopilot discard exp=33 score=14
34,12,15,80.0%,discard,autopilot discard exp=34 score=12
35,13,15,86.7%,discard,autopilot discard exp=35 score=13
36,14,15,93.3%,discard,autopilot discard exp=36 score=14
37,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=37 score=15/15
38,14,15,93.3%,discard,autopilot discard exp=38 score=14
39,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=39 score=15/15
40,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=40 score=15/15
41,14,15,93.3%,discard,autopilot discard exp=41 score=14
42,14,15,93.3%,discard,autopilot discard exp=42 score=14
43,9,15,60.0%,discard,autopilot discard exp=43 score=9
44,14,15,93.3%,discard,autopilot discard exp=44 score=14
45,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=45 score=15/15
46,14,15,93.3%,discard,autopilot discard exp=46 score=14
47,14,15,93.3%,discard,autopilot discard exp=47 score=14
48,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=48 score=15/15
49,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=49 score=15/15
50,13,15,86.7%,discard,autopilot discard exp=50 score=13
51,13,15,86.7%,discard,autopilot discard exp=51 score=13
52,13,15,86.7%,discard,autopilot discard exp=52 score=13
53,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=53 score=15/15
54,14,15,93.3%,discard,autopilot discard exp=54 score=14
55,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=55 score=15/15
56,13,15,86.7%,discard,autopilot discard exp=56 score=13
57,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=57 score=15/15
58,12,15,80.0%,discard,autopilot discard exp=58 score=12
59,14,15,93.3%,discard,autopilot discard exp=59 score=14
60,14,15,93.3%,discard,autopilot discard exp=60 score=14
61,14,15,93.3%,discard,autopilot discard exp=61 score=14
62,9,15,60.0%,discard,autopilot discard exp=62 score=9
63,14,15,93.3%,discard,autopilot discard exp=63 score=14
64,14,15,93.3%,discard,autopilot discard exp=64 score=14
65,13,15,86.7%,discard,autopilot discard exp=65 score=13
66,13,15,86.7%,discard,autopilot discard exp=66 score=13
67,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=67 score=15/15
68,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=68 score=15/15
69,13,15,86.7%,discard,autopilot discard exp=69 score=13
70,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=70 score=15/15
71,14,15,93.3%,discard,autopilot discard exp=71 score=14
72,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=72 score=15/15
73,14,15,93.3%,discard,autopilot discard exp=73 score=14
74,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=74 score=15/15
75,14,15,93.3%,discard,autopilot discard exp=75 score=14
76,10,15,66.7%,discard,autopilot discard exp=76 score=10
77,13,15,86.7%,discard,autopilot discard exp=77 score=13
78,14,15,93.3%,discard,autopilot discard exp=78 score=14
79,13,15,86.7%,discard,autopilot discard exp=79 score=13
80,14,15,93.3%,discard,autopilot discard exp=80 score=14
81,14,15,93.3%,discard,autopilot discard exp=81 score=14
82,13,15,86.7%,discard,autopilot discard exp=82 score=13
83,14,15,93.3%,discard,autopilot discard exp=83 score=14
84,14,15,93.3%,discard,autopilot discard exp=84 score=14
85,14,15,93.3%,discard,autopilot discard exp=85 score=14
86,14,15,93.3%,discard,autopilot discard exp=86 score=14
87,13,15,86.7%,discard,autopilot discard exp=87 score=13
88,9,15,60.0%,discard,autopilot discard exp=88 score=9
89,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=89 score=15/15
90,14,15,93.3%,discard,autopilot discard exp=90 score=14
91,13,15,86.7%,discard,autopilot discard exp=91 score=13
92,14,15,93.3%,discard,autopilot discard exp=92 score=14
93,13,15,86.7%,discard,autopilot discard exp=93 score=13
94,14,15,93.3%,discard,autopilot discard exp=94 score=14
95,13,15,86.7%,discard,autopilot discard exp=95 score=13
96,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=96 score=15/15
97,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=97 score=15/15
98,13,15,86.7%,discard,autopilot discard exp=98 score=13
99,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=99 score=15/15
100,14,15,93.3%,discard,autopilot discard exp=100 score=14
101,14,15,93.3%,discard,autopilot discard exp=101 score=14
102,14,15,93.3%,discard,autopilot discard exp=102 score=14
103,14,15,93.3%,discard,autopilot discard exp=103 score=14
104,14,15,93.3%,discard,autopilot discard exp=104 score=14
105,14,15,93.3%,discard,autopilot discard exp=105 score=14
106,13,15,86.7%,discard,autopilot discard exp=106 score=13
107,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=107 score=15/15
108,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=108 score=15/15
109,14,15,93.3%,discard,autopilot discard exp=109 score=14
110,14,15,93.3%,discard,autopilot discard exp=110 score=14
111,9,15,60.0%,discard,autopilot discard exp=111 score=9
112,14,15,93.3%,discard,autopilot discard exp=112 score=14
113,14,15,93.3%,discard,autopilot discard exp=113 score=14
114,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=114 score=15/15
115,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=115 score=15/15
116,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=116 score=15/15
117,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=117 score=15/15
118,14,15,93.3%,discard,autopilot discard exp=118 score=14
119,14,15,93.3%,discard,autopilot discard exp=119 score=14
120,14,15,93.3%,discard,autopilot discard exp=120 score=14
121,13,15,86.7%,discard,autopilot discard exp=121 score=13
122,14,15,93.3%,discard,autopilot discard exp=122 score=14
123,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=123 score=15/15
124,12,15,80.0%,discard,autopilot discard exp=124 score=12
125,14,15,93.3%,discard,autopilot discard exp=125 score=14
126,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=126 score=15/15
127,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=127 score=15/15
128,15,15,100.0%,keep_tie_max,autopilot keep (tie at max) exp=128 score=15/15
129,14,15,93.3%,discard,autopilot discard exp=129 score=14
130,13,15,86.7%,discard,autopilot discard exp=130 score=13
